"Type","Speaker","Topic","Year"
"Success","Brian Uzzi, Yang Yang, Kevin Gaughan","The Formation and Imprinting of Network Effects Among the Business Elite",2016
"Success","Mark Rouleau, Ashma Vaidya","ForestSim: Assessing the Sustainability of Bioenergy Production Using AgentBased Simulation",2016
"Success","Christine Cuskley, Bernardo Monechi, Pietro Gravino, Vittorio Loreto","The Emergence and Evolution of Collaborative Stories",2016
"Social Media","Xidao Wen, Yu-Ru Lin","The Distress Trajectories After A Terrorist Attack",2016
"Social Media","Jisun An, Ingmar Weber","Trend Spotting and Demographics in Twitter",2016
"Social Media","Eun-Kyeong Kim, Alan MacEachren","Spatial and Temporal Inhomogeneity of Geo-tagged Twitter Data",2016
"Social Media","Travis Martin, Jake Hofman, Amit Sharma, Ashton Anderson, Duncan Watts","Exploring Limits to Prediction in Complex Social Systems",2016
"Social Media","Daniel Kondor, Dimitrios Milioris","Unsupervised Classification in Twitter based on Joint Complexity",2016
"Social Media","Li Zeng, A Conrad Nied, Logan Walls, John Robinson, Kate Starbird, Emma Spiro","Automatic Misinformation Detection on Social Media Spaces during Crisis Events",2016
"Keynote","Shawndra Hill","Measuring the Impact of TV Content on Digital Behaviors",2016
"Keynote","Jon Kleinberg","Keynote",2016
"Poster","Jacob Fisher, Jonathon Cummings, Yong-Mi Kim","Abandoning Innovations: Network Evidence on Enterprise Collaboration Software",2016
"Poster","Shu-Heng Chen, Bin-Tzong Chie, Ying-Fang Kao, Timo Meyer, Ragupathy Venkatachalam","Agent-based Macroeconomic Models: Does Size Matter?",2016
"Poster","Lingxin Hao, Zhaohao Fu","Agent-based Modeling of Networks in China’s Rural-Urban Migration",2016
"Poster","Zining Yang","An Agent-based Dynamic Model of Politics, Fertility and Economic Development",2016
"Poster","Santa Agreste, Pasquale De Meo, Emilio Ferrara, Sebastiano Piccolo, Alessandro Provetti","Analysis of a Heterogeneous Social Network of Humans and Cultural Objects",2016
"Poster","Edmond Awad, Alex Rutherford, Manuel Garcia-Herranz, Iyad Rahwan","Analyzing Interactions of Syrian Refugees on Facebook Using Topic Modeling",2016
"Poster","Yuheng Hu, Kevin Hong","Analyzing Location Disclosure Behavior on Instagram",2016
"Poster","Junghwan Yang, Arash Sangari, Weiqi Zhang, Dhavan Shah","Applying Supervised Machine Learning to Compute Political Ideology Among Twitter Users",2016
"Poster","Vudtiwat Ngampruetikorn, Greg J Stephens","Bias, Belief and Consensus: Collective Opinion Formation on Fluctuating Networks",2016
"Poster","Seth Frey, Robert W Sumner, Maarten W Bos","Blind Moderation of User-generated Content in the Child-focused Use Case",2016
"Poster","Reid Johnson, Yuxiao Dong, Nitesh Chawla","Can Scientific Impact Be Predicted?",2016
"Poster","Yilang Peng","Can Self-disclosure Drive Online Activism? Personal Story, Selfie and the Loss of Collective Identity in Contemporary Activism",2016
"Poster","Michael Schnabel, Daniel Diermeier","Charting and Exploring the Opinion Space of Generic Spin Models on Arbitrary Network Topologies",2016
"Poster","Connie Wang, Shu-Heng Chen","Chinese University Admission Mechanisms: Should We Defer Deferred Acceptance?",2016
"Poster","Daniel Barkoczi, Mirta Galesic","Clarifying the Relationship Between Network Structure and Collective Problem Solving",2016
"Poster","Yuan Li, Bin Xiong","Community Detection in Dynamic Social Network with Node Attributes and Edge Content",2016
"Poster","Piotr Szymanski, Tomasz Kajdanowicz","Community Detection Methods form a Viable Alternative to Random Approach for Label Space Division in Multi-label Classification",2016
"Poster","Liangyue Li, Hanghang Tong, Nan Cao, Kate Ehrlich, Yu-Ru Lin, Norbou Buchler","Computational Methods to Enhance Team Composition in Networks",2016
"Poster","Xiaozhong Liu","Computational Student Information Need Estimation for Cyberreading",2016
"Poster","Roman Bartusiak , Tomasz Kajdanowicz","Cooperation Prediction in Github Developers Network",2016
"Poster","Radoslaw Michalski, Przemyslaw Kazienko, Marcin Kulisiewicz","Core Nodes As the Influencers in Temporal Social Networks",2016
"Poster","Takaaki Ohnishi, Akira Ishii, Keiko Toya","Correlation Between the Financial Evaluations and the Pagerank of Inter-firm Payment Flows Using Real Monetary Transaction Records Between Firms",2016
"Poster","Jacob Miller, David Gefen, Vk Narayanan","Creating Technological Frames: Latent Semantic Analysis of Discourse on Smartphones",2016
"Poster","Yoshihiko Suhara, Xiaowen Dong, Burcin Bozkaya, Alex Pentland","Deepshop: Understanding Purchase Patterns Via Deep Learning",2016
"Poster","Piotr Szymanski","Discovering the Co-authorship Network of 2nd Polish Republic Scientists Using Multiple Electronic Data Sources",2016
"Poster","Degang Wu, Kwok Yip Szeto","Does Having More Options Mean Harder to Reach Consensus?",2016
"Poster","Haris Memic, Robert Ackland","Dynamic Network Analysis of Australian Advocacy Groups on Twitter",2016
"Poster","Fujio Toriumi, Hitoshi Yamamoto, Isamu Okada","Effect of Rewarding Systems in Social Media",2016
"Poster","Yuki Ogawa, Hitoshi Yamamoto, Tetsuro Kobayashi, Takahisa Suzuki","Effects of Twitter Contacts on Perceived Distributions of Public Opinions",2016
"Poster","Eszter Bokanyi, Zoltan Labszki, Gabor Vattay","Estimating US County Unemployment Rates from Twitter Messages",2016
"Poster","Ryan Whalen, Noshir Contractor","Explorative Knowledge Search, Team Diversity, and Research Impact",2016
"Poster","Hedwig Lee, Tyler McCormick, Emma Spiro, Nina Cesare","Exploring Relationship Dynamics Between Citizens and the Police Via Twitter",2016
"Poster","Kazutoshi Sasahara","Exploring Semantic Structures of Online Collective Attention",2016
"Poster","Fredrik Erlandsson, Piotr Brodka, Anton Borg, Henric Johnson","Finding Influential Users in Social Media Using Rule Learning",2016
"Poster","Eshin Jolly, Luke Chang","The Function of Communication: Groups, Gossip and Social Dilemmas",2016
"Poster","Mohsen Jadidi, Fariba Karimi, Claudia Wagner, Markus Strohmaier","Gender Disparities in Scientific Collaboration Networks",2016
"Poster","Sucheta Soundarajan, Acar Tamersoy, Elias Khalil, Tina Eliassi-Rad, Duen Horng Chau, Brian Gallagher, Kevin Roundy","Generating a Sequence of Structurally Mature Networks from Streaming Edge Data",2016
"Poster","Dhaval Adjodah, Peter Krafft, Alejandro Noriega, Alex Pentland","Harnessing Social Learning to Improve Crowd-Sourced Prediction",2016
"Poster","Agnes Horvat, Jayaram Uparna, Brian Uzzi","Hidden Indicators of Collective Intelligence in Crowdfunding",2016
"Poster","Valerio Ciotti, Moreno Bonaventura, Pietro Panzarasa, Vincenzo Nicosia, Vito Latora","Homophily and Missing Links in Citation Networks",2016
"Poster","Moonhoon Choi, Ari Kim","How Crisis Spreads in Social Media and Affects the Attitude Toward the Host City of Mega Sports Event: In Case of Zika Virus and 2016 Brazil Olympic Games",2016
"Poster","Pouya Rahmati, Ali Tafti, Rui Guo, Chris Westland","How Do Firms Digitize Through Inter-firm Relationships? Network Positioning and Digital Complexity",2016
"Poster","James Evans, Misha Teplitskiy","How Firm Is Sociological Knowledge? Reanalysis of GSS Findings with Alternative Models and Out-of-Sample Data, 1972-2012",2016
"Poster","Dmytro Karamshuk, Tetyana Lokot, Oleksandr Pryymak, Nishanth Sastry","Identifying Partisanship in News Articles and Twitter Using Natural Language Processing",2016
"Poster","Yilin Zhang, Karl Rohe, Chris Wells","Identifying Sub-populations of French Voters on Facebook with Spectral Contextualization",2016
"Poster","Jacqueline Ng, Seyed Iravani, Noshir Contractor","The Impact of a Graphical Network Interface for Online Discussions on Student Learning",2016
"Poster","Eun Lee, Petter Holme","The Influence of Heterogeneous Threshold in Opinion Dynamics",2016
"Poster","Mark Costa","The Interdependence of Scientists in Team Science Environments",2016
"Poster","Natalie Herbert, Soojong Kim, Damon Centola","Is Inequality Inevitable? An Agent-based Bargaining Model of Network Structure and Nominal Characteristic Tags",2016
"Poster","Roman Bartusiak, Tomasz Kajdanowicz","Large Scale Network Measures Computation Using Bulk Synchronous Parallel Approach in Comparison to Centralized Methods",2016
"Poster","Pietro Gravino, Cesare Bianchi, Bernardo Monechi, Vito D P Servedio, Vittorio Loreto","LEGO Pixel Art: Identifying Creativity Through a Web-based Game-shaped Experiment",2016
"Poster","Fredrik Jansson, Pontus Strimling, Irina Vartanova, Kimmo Eriksson","The Moral Psychology of Liberals and Conservatives Can Predict Public Opinion Dynamics",2016
"Poster","Alessio E Biondo","A Multi-Quantity Order Book Model",2016
"Poster","Jaimie Murdock, Colin Allen, Simon Dedeo","Production and Consumption of Victorian Science in Charles Darwin's Scientific Practice",2016
"Poster","Clement Thibert, Sevil Zeynali, Matthieu Quignard, Jean-Philippe Mague","Linguistic Variability Among Communities of French Speaking Twitter Users",2016
"Poster","S M Niaz Arifin, Mei Li, Sarv Devaraj, Gregory Madey","Managed Healthcare: Modeling Decision Processes by Physician Groups Within Healthcare Supply Networks",2016
"Poster","Rebecca Jen-Hui Wang","Managing Loyalty Programs in the Mobile and Digital Era: An Empirical Study",2016
"Poster","Akira Ishii, Akiko Kitao","Mathematical Model for Hit Phenomena As a Tool of Computational Social Sciences",2016
"Poster","Daniel Citron, Samuel Way, Laurence Brandenberger","Measuring Topological Transitions in Scientific Collaboration Networks Using Topic Modeling for Subfield Detection",2016
"Poster","James Evans, Aaron Gerow, David Blei, Jordan Boyd-Graber, Yuening Hu","A Model of Author and Institution Textual Influence",2016
"Poster","Kenenbek Arzymatov, Igor Pospelov, Aleksandra Zhukova","Modeling of Financial Bubbles in Illiquid Market of Rational Agents",2016
"Poster","Yohsuke Murase, Hang-Hyun Jo, Janos Torok, Janos Kertesz, Kimmo Kaski","Modeling the Role of Relationship Fading and Breakup in Social Network Formation",2016
"Poster","Taraneh Khazaei, Lu Xiao, Robert Mercer, Atif Khan","Modelling Social Privacy Behavior in Twitter Data",2016
"Poster","Xiao Yang, Iadh Ounis, Craig Macdonald","Monitoring Electoral Violence Through Social Media: A Machine Learning Approach",2016
"Poster","Tse-Chuan Yang, Daniel Kifer, Stephen Matthews","Multiple Imputations of Subregions with Censored Location Data: A Kullback-Leibler Divergence Approach",2016
"Poster","Giuseppe Pappalardo, Tharsis T P Souza, Guido Caldarelli, Soong Moon Kang, Tomaso Aste","Multiplex Structure of Social Media and Financial Networks",2016
"Poster","Craig Evans, Jana Diesner","Mutual Impact and Stability of Personal Ethics and Structural Balance in a Communication Network Over Time",2016
"Poster","George Vega Yon, Stephanie Dyal, Timothy Hayes, Thomas Valente","Network Diffusion of Innovations in R: Introducing Netdiffuser",2016
"Poster","Yu Cheng, Yu-Ru Lin, Hanghang Tong","A Network Regression Framework for Forecasting Labor Transitions",2016
"Poster","Benjamin Smith, Andrea Figueroa-Caballero, Michael Stohl","Networks of Terror: A Computational Approach to Studying the Communicatively Constituted Terrorist Actor",2016
"Poster","Tharsis T P Souza, Tomaso Aste","A Nonlinear Impact: Evidences of Causal Effects of Social Media on Market Prices",2016
"Poster","Alessio E Biondo, Alfio Giarlotta, Alessandro Pluchino, Andrea Rapisarda","Perfect Information Vs Random Investigation: Safety Guidelines for a Consumer in the Jungle of Product Differentiation",2016
"Poster","Silvia Fierascu, Balazs Vedres","Politicized Business Groups and Collusion in Public Procurement Contracts",2016
"Poster","Subrina Farah","Powerful Impacts of a Specialized Academic Intervention Program: A Big Data Approach",2016
"Poster","Shuqing Gao, Hao Chen, Kaisheng Lai, Guo-An Yue, Weining Qian","Predicting Regional Variations of Nationalism with Online Expression of Disgust Emotion in China",2016
"Poster","Zhiya Zuo, Xi Wang, Kang Zhao, David Eichmann","The Prevalence and Interdisciplinarity of Collaborations in Multidisciplinary Institutions – A Case Study of iSchools",2016
"Poster","Xiaowen Dong, Eaman Jahani, Burcin Bozkaya, Bruno Lepri, Alex Pentland","Purchase Pattern, Socioeconomic Status, and Political Inclination",2016
"Poster","Luiz G A Alves, Renio Dos Santos Mendes, Ervin Lenzi, Haroldo Ribeiro","Quantifying and Predicting the Performance of Cities Via Scale-adjusted Metrics",2016
"Poster","David O'Sullivan, Mariano Beguerisse-Diaz, Guillermo Garduno, James Gleeson","Quantifying Interactions Among Twitter Users Based on Sentiment, Affinities, and Relationships, Using Data from the Irish Marriage Referendum",2016
"Poster","Przemyslaw Grabowicz, Mahmoudreza Babaei, Juhi Kulshrestha, Krishna Gummadi, Ingmar Weber","The Road to Popularity: The Dilution of Growing Audience on Twitter",2016
"Poster","Fredrik Jansson, Gunn Elisabeth Birkelund","Segregation Within School Classes: Deriving Social Ties from Register Data",2016
"Poster","Andrea Rapisarda, Alessandro Pluchino, Dario Zappala","Selective Altruism in Collective Games with Different Network Topologies",2016
"Poster","Lukasz Augustyniak, Tomasz Kajdanowicz, Roman Bartusiak, Piotr Szymanski","Sentiment Analysis Using Community Detection in Big Unlabeled Corpora",2016
"Poster","Jaroslaw Jankowski, Piotr Brodka, Tomasz Kajdanowicz, Przemyslaw Kazienko, Boleslaw Szymanski, Radoslaw Michalski","Sequential Seeding in Social Networks",2016
"Poster","Seth Frey, Karsten Donnay, Dirk Helbing, Bob Sumner, Maarten Bos","The Social Dimensions of Self-influence in a Young Online Population",2016
"Poster","Sara Soderstrom, Brian Uzzi, Derek Rucker, James Fowler, Daniel Diermeier","Social Influence Effects on the Adoption of Innovations Over Their Lifecycle",2016
"Poster","Peter Krafft, Nicolas Della Penna, Alex Pentland","Social Influence in Cryptocoin Markets: A Randomized Field Experiment",2016
"Poster","Nicholas Peiper, Rob Chew, Peter Baumgartner","Social-Ecology Meets Twitter: A Sociocentric Analysis of Medical Marijuana Dispensaries in Two California Communities",2016
"Poster","Yohsuke Murase, Takeshi Uchitane, Nobuyasu Ito","A Software Framework for Parameter-Space Explorations",2016
"Poster","Spyros Angelopoulos, Yasmin Merali","Sometimes a Cigar Is Not Just a Cigar: Exploring the Entanglement of Online Sociability and Offline Interactivity on Online Communities",2016
"Poster","Marco De Nadai, Xiaowen Dong, Roberto Larcher, Alex Pentland, Bruno Lepri","Spatial Structure of Cities: How Neighborhoods' Activity Patterns Shape Inequality and Polycentricity",2016
"Poster","Julia Poncela-Casasnovas, Brian Uzzi","The Spread of Negative Links in Social and Economic Networks",2016
"Poster","Sijia Yang, Hyun Suk Kim, Poong Oh, Minji Kim, Joseph Cappella","Tailoring by “Cloning”: Comparing Four Collaborative Filtering Algorithms to Effectively Recommend Anti-Smoking Health Messages",2016
"Poster","Antonis Matakos, Panayiotis Tsaparas","Temporal Mechanisms of Polarization in Online Reviews",2016
"Poster","Jason Radford, Amotz Bar-Noy, Alexey Nikolaev, Saad Mneimneh, David Lazer, Ram Ramanathan","Testing Higher-Order Network Structures in an Online Experiment",2016
"Poster","Dimitrios Milioris, Daniel Kondor","Topic Detection Completeness in Twitter: Is It Possible?",2016
"Poster","Jaimie Murdock, Jiaan Zeng, Colin Allen","Towards Evaluation of Cultural-Scale Claims in Light of Topic Model Sampling Effects",2016
"Poster","Santa Agreste, Pasquale De Meo, Emilio Ferrara, Sebastiano Piccolo, Alessandro Provetti","Trust Networks: Topology, Dynamics and Measurements",2016
"Poster","Bob Boynton, Yelena Mejova, Zubair Shafiq","Twitter and the Iowa Caucus",2016
"Poster","Anahita Davoudi","Using Centrality Measures in Social Networks for Product Rating Prediction",2016
"Poster","Carlos Gallo, Wouter Vermeer, Justin Smith, Stacie Harissis, Hendricks Brown, Michael Newcomb, Brian Mustanski","Using Text Mining to Automatize Literature Reviews",2016
"Poster","Vicky Chuqiao Yang, Andrew Papachristos, Daniel Abrams","Why Bigger Cities Have More Inventions, Crime and Disease: A Mathematical Model for Superlinear Scaling in Urban Output",2016
"Poster","Katharine Anderson","Writers, Designers, and Software Developers: Skill Networks and Measures of Complex Human Capital in Freelance Labor Markets",2016
"Keynote","Ciro Cattuto","High-resolution social networks from wearable sensors: Experiences and perspectives",2017
"Keynote","Agnes Horvat","Hidden signals of collective intelligence in crowdfunding",2017
"News","Yuemei Xu, Jiayi Zhou, Xiaoya Zhang, Chenyu Dong","A Topic-Sentiment Evolution Model to Analyze Chinese National Image from Online News",2017
"News","Erick Elejalde, Leo Ferres, Eelco Herder","Nature of Real and Perceived Bias in Chilean Media",2017
"News","Lorien Jasny, Susan Banducci, Travis Coan, Iulia Cioroianu, Iain Weaver, Hywell Williams","Dynamic Networks of News Consumption: Online Traffic during the 2016 Brexit Campaign in the UK",2017
"News","Judith Moeller, Damian Trilling, Natali Helberger, Bram van Es","Do news recommenders foster filter bubbles? An empirical assessment of multiple recommender systems and their impact on content diversity",2017
"News","Kazutoshi Sasahara, Giovanni Ciampaglia, Alessandro Flammini, Filippo Menczer","Modeling Echo Chambers on Social Media",2017
"Analysis of Text","Henri Kauhanen, Deepthi Gopal, Tobias Galla","Spatial distributions of linguistic features are determined by the interaction of endogenous and exogenous dynamics",2017
"Analysis of Text","Hayafumi Watanabe, Yukie Sano, Hideki Takayasu, Misako Takayasu","Statistical properties of fluctuations of time series representing appearances of words in nationwide blog data and their applications",2017
"Analysis of Text","Thomas Daeubler, Kenneth Benoit","Statistical Scaling Meets Classic Content Analysis: Using Bayesian IRT-Modelling to Infer Latent Variables from Hand-Coded Texts",2017
"Analysis of Text","Bruno Goncalves, Lucia Loureiro-Porto, Jose J Ramasco, David Sanchez","The fall of the empire: The Americanization of English",2017
"Analysis of Text","Bennett Kleinberg, Maximilian Mozes, Arnoud Arntz, Bruno Verschuere","Using named entities for computer-automated verbal deception detection",2017
"Analysis of Text","Christopher Riederer, Jake Hofman, Daniel Goldstein","To put that in perspective: Generating analogies that make numbers easier to understand",2017
"Markets","Bruno Abrahao, Paolo Parigi, Alok Gupta, Karen Cook","Trust is Extendible: An Online Experiment on Airbnb’s User Population",2017
"Markets","Johannes Wachs, Janos Kertesz","Network Characterization of Cartels in Public Auction Markets",2017
"Markets","Ceren Budak, Justin Rao","Who Cares About the Overhead? Measuring the Efficiency in the Charity Marketplace",2017
"Markets","Wojtek Przepiorka, Lukas Norbutas, Rense Corten","Order without law: Reputation promotes cooperation in a cryptomarket for illegal drugs",2017
"Markets","Lukas Norbutas, Rense Corten, Stijn Ruiter","Dyadic and network learning in online drug marketplaces: commitment or market efficiency?",2017
"Markets","Javier Garcia-Bernardo, Jan Fichtner, Eelke Heemskerk, Frank Takes","Identifying Sink and Conduit Offshore Financial Centers in the Global Corporate Ownership Network",2017
"User demographics and privacy","Yang-Chih Fu, Ming-Yi Chang","Inducing Egocentric Networks with Privacy Settings: Evidence from Integrated Social Media and Representative Survey Data",2017
"User demographics and privacy","Kyriaki Kalimeri, Mariano Beiro, Robert Raleigh, Ciro Cattuto","What do our digital records reveal about us? Automatic Prediction of Demographic and Psychometric Attributes from Digital Data",2017
"User demographics and privacy","Rainer Schnell and Christian Borgs","New Techniques for Privacy-preserving Record Linkage of Large-scale Social Science Data Sets",2017
"User demographics and privacy","Stefano Bennati, Evangelos Pournaras","Incentivized Data Sharing via Group-level Privacy-preservation",2017
"User demographics and privacy","Dennis Feehan, Curtiss Cobb","How many of your friends have access to the internet? Estimating internet adoption around the world from a sample of Facebook users",2017
"User demographics and privacy","Ridhi Kashyap, Francesco Billari, Nicolo Cavalli, Eric Qian, Ingmar Weber","Ultrasound Technology and ‘Missing Women’ in India: Analyses and Now-casts Based on Google Searches",2017
"Finances","Federico Musciotto, Jyrki Piilo, Rosario N Mantegna","Demographic trends and social dynamics of a financial bubble",2017
"Finances","Jaimie Park, Mahmoudreza Babaei, Przemyslaw Grabowicz, Krishna Gummadi, Sue Moon","An Analysis of Sponsored Content on Twitter",2017
"Finances","Eaman Jahani, Guillaume Saint-Jacques, Pål Sundsøy, Johannes Bjelland, Esteban Moro, Alex Pentland","Differential Network Effects on Economic Outcomes: A Structural Perspective",2017
"Finances","Shilin Jia, Linzhuo Li","Ideological Creation of Market in Socialist China: Change in Economic Rhetoric in the People’s Daily, 1946-2003",2017
"Finances","Federica Bianchi","Market uncertainty and the network structure of transaction sequences in the EU interbank money market",2017
"Finances","Lijun Sun, Morgan Frank, Hyejin Youn, Iyad Rahwan","Understanding Regional Economy by Decomposing Urban Labor Systems",2017
"Norms, Trust, and Moral Foundations","Weiqi Zhang, Dmitry Zinoviev","How North Korea Views China: Applying Sentiment Analysis to Korean Central News Agency Reports",2017
"Norms, Trust, and Moral Foundations","Richard Lu, Jennifer Chatman, Sameer Srivastava, Amir Goldberg","Perceiving and Acting: How Preferences and Perceptions of Cultural Norms Relate to Normative Compliance",2017
"Norms, Trust, and Moral Foundations","Nikolas Zoller, Ingo Wolf, Tobias Schroder","Political Ideology and Affective Attitudes Towards Mobility Innovation: Comparing Survey Responses and Twitter Data",2017
"Norms, Trust, and Moral Foundations","Rishemjit Kaur, Kazutoshi Sasahara","Moral Foundations in Online Conversations",2017
"Norms, Trust, and Moral Foundations","Santa Agreste, Pasquale De Meo, Emilio Ferrara, Sebastiano Piccolo, Alessandro Provetti","Trust Networks: Topology, Dynamics and Measurements",2017
"Keynote","Dashun Wang","Emergence of Scaling in Complex Substitutive Systems",2017
"Keynote","Ulrik Brandes","The Space of All Centralities",2017
"Keynote","Cecilia Mascolo","Human Behaviour Studies through the lens of Mobile Sensing and Complex Networks",2017
"Keynote","Emily Falk","The spread of ideas from brain to brain",2017
"Political Phenomena","Hiroki Takikawa, Takuto Sakamoto","Moral Foundations of Political Discourse: Comparative Analysis of the Speech Records of the US Congress and the Japanese Diet",2017
"Political Phenomena","Solomon Messing, Patrick Van Kessel, Adam Hughes","The Hostility Bonus: How Negativity Dominates American Political Communication",2017
"Political Phenomena","Meysam Alizadeh, Ingmar Weber, Claudio Cioffi, Santo Fortunato, Michael Macy","Psychological and Personality Profiles of Political Extremists",2017
"Political Phenomena","Changdong Oh","Evolution of Moral Politics: Analysis on the Moral Foundations of Korean Political Parties",2017
"Political Phenomena","Lukas Fervers","Economic Miracle, Political Disaster? Political and Social Consequences of the Hartz-Reforms",2017
"Political Phenomena","Iain Weaver, Hywel Williams, Travis Coan, Iulia Cioroianu, Susan Banducci","Evolving affiliations amongst UK politicians",2017
"Health and Wellbeing","Matheus Araujo, Yelena Mejova, Ingmar Weber, Fabricio Benevenuto","Using Facebook Ads Audiences for Global Lifestyle Disease Surveillance",2017
"Health and Wellbeing","Enes Kocabey, Mustafa Camurcu, Ingmar Weber, Ferda Ofli, Yusuf Aytar, Javier Marin, Antonio Torralba","Face-to-BMI: Using Computer Vision to Study Body Weight in Social Media Profile Pictures",2017
"Health and Wellbeing","Tiago Cunha, Ingmar Weber, Gisele Pappa","The Link Between Social Feedback and Weight Loss in a Reddit Community",2017
"Health and Wellbeing","Munmun De Choudhury, Mrinal Kumar, Ingmar Weber","Computational Approaches Toward Integrating Quantified Self Sensing and Social Media",2017
"Health and Wellbeing","Mark Lutter, Karlijn Roex","Celebrity Suicides and the Werther Effect. An Analysis of 34 OECD Countries using Wikipedia’s Celebrity Suicide Data",2017
"Competition","Ashton Anderson, Etan Green","Personal Bests as Reference Points",2017
"Competition","Jelena Grujic, Tom Lenaerts","Looking for the strategies in the repeated prisoner's dilemma when the cooperation is established",2017
"Competition","Joshua Jung, Jesse Hoey","Computational Affective Model of Human Action in a Social Dilemma",2017
"Competition","Ismo Koponen, Maija Nousiainen","Modelling discourse patterns in small groups of competing and co-operating members",2017
"Competition","Oana Vuculescu, Carsten Bergenholtz, Michela Beretta","The Ikea-effect in collective problem solving",2017
"Competition","Sabine Brunswicker, Michael Prietula","Transparency and Re-Use Patterns of Open Digital Crowd Contests: Linking Empirical and Computational Approaches",2017
"Collaboration and Communities","Satyam Mukherjee, Sabine Brunswicker","Problem-centric Network Embeddedness and Productivity in Open Source Software Communities",2017
"Collaboration and Communities","Pj Lamberson, John Lang, Noshir Contractor, Leslie Dechurch, Brian Uzzi","Sharing Strategies: Optimal networks for team collaboration and problem solving",2017
"Collaboration and Communities","Joshua Becker, Devon Brackbill, Damon Centola","The Network Dynamics of Social Influence in the Wisdom of Crowds",2017
"Collaboration and Communities","Dhaval Adjodah, Yan Leng, Shi Kai Chong, Peter Krafft, Alex Pentland","Social Bayesian Learning in the Wisdom of the Crowd",2017
"Collaboration and Communities","Alejandro Noriega, Abdullah Almaatouq, Peter Krafft, Abdulrahman Alotaibi, Mehdi Moussaid, Alex Pentland","The Wisdom of Dynamic Networks: Selective Social Learning and the Adaptive Wisdom of Crowds",2017
"Collaboration and Communities","Dimitris Sacharidis","Observing User Behavior in Group Recommender Systems",2017
"Wikipedia","Fabian Flock, Kenan Erdogan, Maribel Acosta","Studying Content Survival, Authorship & Controversy – By Tracing Every Word Change on Wikipedia",2017
"Wikipedia","Milena Tsvetkova, Ruth Garcia Gavilanes, Luciano Floridi, Taha Yasseri","Even Good Bots Fight",2017
"Wikipedia","Florian Lemmerich, Philipp Singer, Robert West, Leila Zia, Ellery Wulczyn, Markus Strohmaier, Jure Leskovec","Why We Read Wikipedia",2017
"Wikipedia","Marijn ten Thij, David Laniado, Andreas Kaltenbrunner, Yana Volkovich","Modeling collective attention on promoted content in Wikipedia",2017
"Wikipedia","Juergen Lerner, Alessandro Lomi","Global warming is different from Racism: on the structure of controversy in Wikipedia",2017
"Wikipedia","Anna Samoilenko, Fariba Karimi, Daniel Edler, Jerôme Kunegis, Markus Strohmaier","Linguistic neighbourhoods: Explaining cultural borders on Wikipedia through multilingual co-editing activity",2017
"Wikipedia","Brian Keegan","The Evolution and Consequences of Peer Producing Wikipedia’s Rules",2017
"Settings","Ivan Smirnov","School segregation in the digital space",2017
"Settings","Flavio L Pinheiro, Sara Encarnacão","Mapping the Higher Education System",2017
"Settings","Rene Kizilcec","Promoting Educational Attainment at Scale with Psychological Interventions",2017
"Settings","Lori Beaman, Ariel Benyishay, Jeremy Magruder, Ahmed Mushfiq Mobarak","Can Network Theory-based Targeting Increase Technology Adoption?",2017
"Settings","Kyle Higham, Michele Governale, Adam Jaffe, Ulrich Zülicke","Fame and Obsolescence: Disentangling growth and ageing dynamics of patent citations",2017
"Protest and Activism","Lia Bozarth, Ceren Budak","Measuring the Value of Low-Cost Activism for Online Social and Political Movements",2017
"Protest and Activism","Anna-Lena Honig","Explaining protest intensity: The effect of roles and communities in a global cooperation network",2017
"Protest and Activism","Ryan Wesslen, Tiffany Gallicano, Jean-Claude Thill, Sagar Nandu","Hot issue publics on Twitter: Analyzing Charlotte protests with automated text analysis",2017
"Protest and Activism","Dharmashankar Subramanian","A trigger-conditional Hawkes process model for social protest",2017
"Mobility and Geo-Information","Johnnatan Messias, Fabricio Benevenuto, Ingmar Weber, Emilio Zagheni","From Migration Corridors to Clusters: The Value of Google+ Data for Migration Studies",2017
"Mobility and Geo-Information","Philipp Hunziker, Carl Muller-Crepon, Matthew Simonson, Lars-Erik Cederman, David Lazer","All Roads Lead to Lagos: Road networks and the legacies of extractive colonialism",2017
"Mobility and Geo-Information","Daniel Kondor, Behrooz Hashemian, Yves-Alexandre de Montjoye, Carlo Ratti","Estimating the possibility of trajectory-based reidentification for fusion of large-scale urban mobility datasets",2017
"Mobility and Geo-Information","Riyadh Alnasser, Faisal Aleissa, Michele Catasta","Gender Prediction in Gender Segregated Societies Using Cell Phone Data",2017
"Mobility and Geo-Information","Cristina Kadar, Irena Pletikosa","Leveraging Large-Scale Ubiquitous Data for Fine-Grained Crime Prediction",2017
"Mobility and Geo-Information","Morgan Frank, Lijun Sun, Manuel Cebrian, Hyejin Youn, Iyad Rahwan","Small cities face greater impact from automation",2017
"Network Dynamics","Eduardo Altmann","Stochastic popularity of social-media items",2017
"Network Dynamics","Nikolai Bode","Computing Quantitative Taxonomies of Social Interactions from Data",2017
"Network Dynamics","Jana Huisman, Olivia Woolley","Inter-modular connectivity creates structural instability in complex contagion",2017
"Network Dynamics","Aamena Alshamsi, Flavio Pinheiro, Cesar Hidalgo","When to target hubs? Strategic Diffusion in Complex Networks",2017
"Network Dynamics","Samuel Fraiberger, Roberta Sinatra, Christoph Riedl, Albert-Laszlo Barabasi","Reputation and Success in Art",2017
